folder,source_folder,id,display_name,source_name,description,type,domain,units
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr4_mom_v1,EPDS: I have been so unhappy that I have had difficulty sleeping,I have been so unhappy that I have had difficulty sleeping,In the past 7 days I have been so unhappy that I have had difficulty sleeping<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr4_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr5_mom_v1,EPDS: I have felt sad or miserable,I have felt sad or miserable,In the past 7 days I have felt sad or miserable<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr5_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr6_mom_v1,EPDS: I have been so unhappy that I have been crying,I have been so unhappy that I have been crying,In the past 7 days I have been so unhappy that I have been crying<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr6_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr7_mom_v1,EPDS: The thought of harming myself has occurred to me,The thought of harming myself has occurred to me,In the past 7 days The thought of harming myself has occurred to me<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr7_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr8_mom_v1,EPDS: I have been able to laugh and see the funny side of things,I have been able to laugh and see the funny side of things,In the past 7 days I have been able to laugh and see the funny side of things <br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr8_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr9_mom_v1,EPDS: I have looked forward with enjoyment to things,I have looked forward with enjoyment to things,In the past 7 days I have looked forward with enjoyment to things <br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr9_mom_v1_,
Lifestyle and Behavioural Health,v1_main,drink30d_mom_v1,Frequency drinking one or more drinks of an alcoholic beverage in the last 30 days - Mother,"During the past 30 days, on how many days did you drink one or more drinks of an alcoholic beverage?",,numeric,,days
Medical History,v1_main,eclmps_mom_v1,Eclampsia,Eclampsia,,choices,eclmps_mom_v1_,
Demographics/Employment,v1_main,employmntstatus_mom_v1,Employment sttaus in the last 12 months - Mother,"In the past 12 months, were you mostly...?",,choices,employmntstatus_mom_v1_,
Lifestyle and Behavioural Health,v1_main,energy_mom_v1,"Average frequency of drinking energy drinks such as Red Bull, Monster, or Rockstar in the past 4 weeks - Mother","In the past 4 weeks, on average, how often did you drink energy drinks such as Red Bull, Monster, or Rockstar?",,choices,energy_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,epdsscore_mom_v1,Edinburgh Postnatal Depression Scale (EPDS) Score,EPDS score,EPDS score<br><br>Summary score from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),numeric,,
Lifestyle and Behavioural Health,v1_main,event1_mom_v1,Life-threatening illness or accidental injury to someone close to you - Mother,Life-threatening illness or accidental injury to someone close to you,Has this event happened to you over the past year: Life-threatening illness or accidental injury to someone close to you - Mother,choices,event1_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event10_mom_v1,Anything else bad happened to you that upset you a lot - Mother,Anything else bad happened to you that upset you a lot,Has this event happened to you over the past year: Anything else bad happened to you that upset you a lot - Mother,choices,event10_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event11_mom_v1,Anything else bad happened to someone close to you that upset you a lot - Mother,Anything else bad happened to someone close to you that upset you a lot,Has this event happened to you over the past year: Anything else bad happened to someone close to you that upset you a lot - Mother,choices,event11_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event12_mom_v1,None of the options above - Mother,None of the options above,Has this event happened to you over the past year: None of the options above - Mother,choices,event12_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event2_mom_v1,Death of someone close to you - Mother,Death of someone close to you,Has this event happened to you over the past year: Death of someone close to you - Mother,choices,event2_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event3_mom_v1,Involuntarily lost a job for reasons other than retirement - Mother,Involuntarily lost a job for reasons other than retirement,Has this event happened to you over the past year: Involuntarily lost a job for reasons other than retirement - Mother,choices,event3_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event4_mom_v1,Being unemployed & looking for work longer than 3 months - Mother,Being unemployed & looking for work longer than 3 months,Has this event happened to you over the past year: Being unemployed & looking for work longer than 3 months - Mother,choices,event4_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event5_mom_v1,Anyone else in household unemployed & looking for work for longer than 3 months - Mother,Anyone else in household unemployed & looking for work for longer than 3 months,Has this event happened to you over the past year: Anyone else in household unemployed & looking for work for longer than 3 months - Mother,choices,event5_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event6_mom_v1,Moved to a worse residence or neighborhood - Mother,Moved to a worse residence or neighborhood,Has this event happened to you over the past year: Moved to a worse residence or neighborhood - Mother,choices,event6_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event7_mom_v1,Being robbed or having home burglarized - Mother,Being robbed or having home burglarized,Has this event happened to you over the past year: Being robbed or having home burglarized - Mother,choices,event7_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event8_mom_v1,Serious financial problems or difficulties - Mother,Serious financial problems or difficulties,Has this event happened to you over the past year: Serious financial problems or difficulties - Mother,choices,event8_mom_v1_,
Lifestyle and Behavioural Health,v1_main,event9_mom_v1,Legal trouble - Mother,Legal trouble,Has this event happened to you over the past year: Legal trouble - Mother,choices,event9_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,fallaslp_mom_v1,Baby's usual time of falling asleep for the night,What time does your baby usually fall asleep for the night?,,text,,
Sleep Questionnaires/Sleep Habits,v1_main,fallaslpampm_mom_v1,Fall asleep at night AM or PM,Fall asleep at night AM or PM?,,choices,fallaslpampm_mom_v1_,
Demographics/Household Makeup,v1_main,female1_mom_v1,Female caregiver lives in the household,Does she live in your household?,,choices,female1_mom_v1_,
Demographics/Household Makeup,v1_main,female2_mom_v1,Female caregiver is mother's partner,Is she your partner? (i.e. Are the two of you in a relationship?),,choices,female2_mom_v1_,
Lifestyle and Behavioural Health,v1_main,female3_mom_v1,Number of hours female cargiver spent alone with the baby last week (mother not present),What is the total number of hours she spent with your baby last week? (hours),,numeric,,hours
Lifestyle and Behavioural Health,v1_main,female4_mom_v1,Number of hours female cargiver spent with the baby last week,What is the total number of hours she spent with your baby last week without you being present? (hours),,numeric,,hours
Lifestyle and Behavioural Health,v1_main,ffconsum_mom_v1,"Average frequency of eating something from a fast food restaurant in the last 4 weeks (e.g., McDonald's, Burger King, Taco Bell)","In the past 4 weeks, on average, how often did you eat something from a fast food restaurant? Examples: McDonald's, Burger King, Taco Bell",,choices,ffconsum_mom_v1_,
Lifestyle and Behavioural Health,v1_main,fish_mom_v1,Average frequency of eating fish (excluding shellfish and breaded fish pieces) in the last 4 weeks,"In the past 4 weeks, on average, how often did you eat fish (excluding shellfish and breaded fish pieces)?",,choices,fish_mom_v1_,
Lifestyle and Behavioural Health,v1_main,fruit_mom_v1,"Average frequency of eating fruit (including fresh, frozen, or canned fruit) in the last 4 weeks (exclude fruit juice or dried fruits)","In the past 4 weeks, on average, how often did you eat fruit (including fresh, frozen or canned fruit)?  Do not include fruit juice or dried fruits.",,choices,fruit_mom_v1_,
General Health,v1_main,furanimalhome_mom_v1,"Presence of dogs, cats or other small furry animals, such as a rabbit, guinea pig or hamster, live or spend time inside the home in the last 12 months","In the last 12 months, did any dogs, cats or other small furry animals, such as a rabbit, guinea pig or hamster, live or spend time inside your home?",,choices,furanimalhome_mom_v1_,
Medical History,v1_main,gesdiab_mom_v1,Gestational Diabetes,Gestational Diabetes,,choices,gesdiab_mom_v1_,
Medical History,v1_main,grpbstrep_mom_v1,Group B Strep Infection,Group B Strep Infection,,choices,grpbstrep_mom_v1_,
Lifestyle and Behavioural Health,v1_main,juice_mom_v1,"Average frequency of drinking 100% pure fruit juices such as orange, mango, apple, grape, and pineapple juices in the last 4 weeks (do not count punch, Kool-Aid, Tampico, sports drinks, or Goya juice)","In the past 4 weeks, on average, how often did you drink 100% pure fruit juices such as orange, mango, apple, grape and pineapple juices? Do not count punch, Kool-Aid, Tampico, sports drinks, or Goya juice.",,choices,juice_mom_v1_,
Demographics/Acculturation,v1_main,langreadsp_mom_v1,Languages you read and speak in general,"In general, what language(s) do you read and speak?",,choices,langreadsp_mom_v1_,
Demographics/Acculturation,v1_main,langspfrnd_mom_v1,Languages you usually speak with your friends,What language(s) do you usually speak with your friends?,,choices,langspfrnd_mom_v1_,
Demographics/Acculturation,v1_main,langsphome_mom_v1,Languages you usually speak at home,What language(s) do you usually speak at home?,,choices,langsphome_mom_v1_,
Demographics/Acculturation,v1_main,langthink_mom_v1,Languages you usually think in,In which language(s) do you usually think?,,choices,langthink_mom_v1_,
Demographics/Acculturation,v1_main,language_mom_v1,Languages you primarily speak,What language(s) do you primarily speak?,,text,,
Lifestyle and Behavioural Health,v1_main,last4wkwalk_mom_v1,"Average hours per week engaged in walking activities in the last 4 weeks (including walking for fun or exercise, walking to work or school)","Thinking back on the LAST 4 WEEKS, on average, how many hours per week did you spend engaged in...  Walking (include walking for fun or exercise, walking to work or school)?",,numeric,,hours
Lifestyle and Behavioural Health,v1_main,lightactiv_mom_v1,"Average hours per week spent engaged in light or moderate recreational activities or sports like bowling, yoga, stretching classes, skating, or other similar activities (excluding walking), in the 12 months before this pregnancy. ","During the 12 months before this pregnancy, on average, how many hours per week did you spend engaged in light or moderate recreational activities or sports like bowling,yoga,stretching classes,skating,or other similar activities? (Do not include walking)",,numeric,,hours
Demographics/Household Makeup,v1_main,livehome_mom_v1___1,Father living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Father),,choices,livehome_mom_v1___1_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___2,Stepfather living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Stepfather),,choices,livehome_mom_v1___2_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___3,Mothers partner (other than the babys father/stepfather) living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Your partner (other than the babys father/stepfather)),,choices,livehome_mom_v1___3_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___4,Grandparent(s) living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Grandparent(s)),,choices,livehome_mom_v1___4_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___5,Siblings/other relatives living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Sibling(s)/other relatives),,choices,livehome_mom_v1___5_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___6,No one living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=No one (live alone)),,choices,livehome_mom_v1___6_,
Demographics/Household Makeup,v1_main,livehome_mom_v1___7,Other people living in the household with the baby,Who is living in the household with the baby? (select all that apply) (choice=Other),,choices,livehome_mom_v1___7_,
Demographics/Household Makeup,v1_main,livehomeothr_mom_v1,Specify 'other' living in the household with the baby,If 'Other' please list,,text,,
Demographics/Household Makeup,v1_main,male1_mom_v1,Male caregiver lives in the household,Does he live in your household?,,choices,male1_mom_v1_,
Demographics/Household Makeup,v1_main,male2_mom_v1,Male caregiver is mother's partner,Is he your partner? (i.e. Are the two of you in a relationship?),,choices,male2_mom_v1_,
Demographics/Household Makeup,v1_main,male3_mom_v1,Male caregiver is the biological father of the baby,Is he the biological father of your baby?,,choices,male3_mom_v1_,
Lifestyle and Behavioural Health,v1_main,male4_mom_v1,Number of hours male cargiver spent alone with the baby last week (mother not present),What is the total number of hours he spent with your baby last week? (hours),,numeric,,hours
Lifestyle and Behavioural Health,v1_main,male5_mom_v1,Number of hours male cargiver spent with the baby last week,What is the total number of hours he spent with your baby last week without you being present? (hours),,numeric,,hours
Demographics/Employment,v1_main,maternleave_mom_v1,"Maternity leave taken, if employed full or part-time - Mother","If you are employed full or part-time, are you taking maternity leave?",,choices,maternleave_mom_v1_,
Demographics/Employment,v1_main,matleavetime_mom_v1,Week or months of maternity leave - Mother,How many weeks or months?,,numeric,,
Demographics/Employment,v1_main,matleavwkmo_mom_v1,Units for maternity leave (weeks/months),Is the above time for maternity leave in weeks or months?,,choices,matleavwkmo_mom_v1_,
Medical History,v1_main,mdd_mom_v1,Depression,Depression,,choices,mdd_mom_v1_,
General Health,v1_main,mice_mom_v1,Frequency seeing signs of mice/rodents in the home over the last 12 months,Mice/Rodents,"How often in the last 12 months have you seen or were there signs of cockroaches or mice/rodents in your home? (This includes actually seeing pests and indications of pests such as feces and droppings, chewed packages, etc.)",choices,mice_mom_v1_,
General Health,v1_main,moldmildewhome_mom_v1,"Presence of mold or mildew on walls or other surfaces, other than food, inside the home since birth","Since your baby was born, has there been any mold or mildew on walls or other surfaces, other than food, inside your home?",,choices,moldmildewhome_mom_v1_,
Sleep Questionnaires/Chronotype,v1_main,morningpers_mom_v1,Type of person you consider yourself to be (morning or evening),One hears about morning and evening types of people. Which ONE of these types do you consider yourself to be?,,choices,morningpers_mom_v1_,
Demographics/Socioeconomic Status,v1_main,movein_mom_v1,"Mother or children moved in with other people, even for a little while, because of inability afford to pay mortgage, rent or utility bills, during the last 12 months","During the last 12 months, did you or your children move in with other people even for a little while because you could not afford to pay your mortgage, rent or utility bills?",,choices,movein_mom_v1_,
Sleep Quesitonnaires/Sleep Habits,v1_main,nightfeed_mom_v1,Number of times baby is fed during the night,How many times during the night do you feed your baby?,,numeric,,
Demographics/Socioeconomic Status,v1_main,nofood_mom_v1,Worry whether food would run out before having the money to buy more in the last 12 months,Within the past 12 months we worried whether our food would run out before we got money to buy more,,choices,nofood_mom_v1_,
Demographics/Socioeconomic Status,v1_main,nomoneyfood_mom_v1,"Food bought didn't last and money not available to buy more, within the last 12 months",Within the past 12 months the food we bought just didn't last and we didn't have money to get more,,choices,nomoneyfood_mom_v1_,
Demographics/Socioeconomic Status,v1_main,nopayrent_mom_v1,"Mother/family unable to pay the mortgage, rent or utility bills during the last 12 months","During the last 12 months, was there a time when (you/you and your family) were not able to pay your mortgage, rent or utility bills?",,choices,nopayrent_mom_v1_,
Medical History,v1_main,otherill_mom_v1,"Since birth, has the baby had other ilnesses",Other,,choices,otherill_mom_v1_,
Lifestyle and Behavioural Health,v1_main,pacifhowoft_mom_v1,"If used, how often baby uses a pacifier (binky, dummy, bobo) to go to sleep","If yes, how often does your baby use a pacifier (binky, dummy, bobo) to go to sleep?",,choices,pacifhowoft_mom_v1_,
Lifestyle and Behavioural Health,v1_main,pacifier_mom_v1,"Baby used a pacifier (binky, dummy, bobo) in the past 7 days","Has your baby used a pacifier (binky, dummy, bobo) in the past 7 days?",,choices,pacifier_mom_v1_,
Medical History,v1_main,preeclmps_mom_v1,Pre-eclampsia (hypertension of pregnancy),Pre-eclampsia (hypertension of pregnancy),,choices,preeclmps_mom_v1_,
Lifestyle and Behavioural Health,v1_main,procmeat_mom_v1,"Average frequency of eating processed meat, such as bacon, lunch meats, or hot dogs, in the last 4 weeks (including processed meats in sandwiches, soups, pizza, casseroles, and other mixtures) - Mother","In the past 4 weeks, on average, how often did you eat any processed meat, such as bacon, lunch meats, or hot dogs? Include processed meats you had in sandwiches, soups, pizza, casseroles, and other mixtures. Processed meats are those preserved by smoking",,choices,procmeat_mom_v1_,
Lifestyle and Behavioural Health,v1_main,punch_mom_v1,"Average frequency of drinking punch, sweetened fruit drinks, sports drinks, Kool-Aid, Tampico, lemonade, Hi-C, cranberry drink, Goya, or Vitamin Water in the past 4 weeks (excluding 100% fruit juice or diet drinks) - Mother","In the past 4 weeks, on average, how often did you drink punch, sweetened fruit drinks, sports drinks, Kool-Aid, Tampico, lemonade, Hi-C, cranberry drink, Goya, or Vitamin Water? Do not include 100% fruit juice or diet drinks.",,choices,punch_mom_v1_,
Medical History,v1_main,reflux_mom_v1,"Since birth, has the baby had reflux",Reflux,,choices,reflux_mom_v1_,
Demographics/Household Makeup,v1_main,relationdad_mom_v1,Mothers relationship with the baby's biological father,What is your relationship with your baby's biological father?,,choices,relationdad_mom_v1_,
Demographics/Household Makeup,v1_main,sharerespons_mom_v1,Another primary adult who intends to share responsibility for caring for the baby. (This could be the baby's biological father or another male or female caregiver),Is there another primary adult who intends to share responsibility for caring for the baby? (This could be the baby's biological father or another male or female caregiver),,choices,sharerespons_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,sleepdur_mom_v1,Longest stretch of time baby is asleep during the night without waking up - Mother,"On a typical night, what is the longest stretch of time that your baby is asleep during the night without waking up? (in hours)",,text,,hours
Sleep Questionnaires/Sleep Habits,v1_main,sleepnight_mom_v1,Total time baby spends sleeping during the night (between 7 in the evening and 8 in the morning) - Mother,How much total time does your baby spend sleeping during the NIGHT (between 7 in the evening and 8 in the morning)? (in hours),,text,,hours
Sleep Questionnaires/Sleep Habits,v1_main,sleeptimeyn_mom_v1,Baby's usual time of falling asleep - Mother,Does your baby have a usual time of falling asleep?,,choices,sleeptimeyn_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,slp4wkday_mom_v1,Average hours of sleep per night on weekdays or workdays during the last 4 weeks - Mother,"Thinking back on the LAST 4 WEEKS, about how many hours of sleep per night did you usually get on WEEKDAYS or WORKDAYS?",,numeric,,hours
Sleep Questionnaires/Sleep Habits,v1_main,slp4wknd_mom_v1,Average hours of sleep per night on weekends or days off during the last 4 weeks - Mother,"Thinking back on the LAST 4 WEEKS, about how many hours of sleep per night did you usually get on WEEKENDS or DAYS OFF?",,numeric,,hours
Medical History,v1_main,slpapnea_mom_v1,Sleep Apnea - Mother,Sleep Apnea,,choices,slpapnea_mom_v1_,
Sleep Questionnaires/Sleep Disordered Breathing,v1_main,slpapnea4w_mom_v1,Frequency of stopping breathing during your sleep during the last 4 weeks - Mother,"Thinking back on the LAST 4 WEEKS, how often did you stop breathing during your sleep?",,choices,slpapnea4w_mom_v1_,
Lifestyle and Behavioural Health,v1_main,smkduringpreg_mom_v1,Smoke any cigarettes in any trimester of this pregnancy,"In any trimester of this pregnancy, did you smoke any cigarettes?",,choices,smkduringpreg_mom_v1_,
Lifestyle and Behavioural Health,v1_main,smokexphome_mom_v1,"Any of the other people living in the home regularly (often) smoke cigarettes, cigars or pipes in the baby's presence","Do any of the other people living in your home regularly (often) smoke cigarettes, cigars or pipes in your baby's presence?",,choices,smokexphome_mom_v1_,
Lifestyle and Behavioural Health,v1_main,smokperday_mom_v1,Current average cigarettes per day (1 pack = 20 cigarettes) - Mother,"On average, how many cigarettes per day do you currently smoke? (1 pack = 20 cigarettes)",,choices,smokperday_mom_v1_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___1,Household received food stamps (SNAP) in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=Food stamps (SNAP))",,choices,snapwic_mom_v1___1_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___2,"Household received WIC services - Women, Infants and Childrens nutritional services in the past 12 months","In the past 12 months, has your household received any of the following? (Check all that apply) (choice=WIC services - Women, Infants and Childrens nutritional services)",,choices,snapwic_mom_v1___2_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___3,Household received TANF - Temporary Assistance to Needy Families in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=TANF - Temporary Assistance to Needy Families)",,choices,snapwic_mom_v1___3_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___4,Household received Social Security Income in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=Social Security Income)",,choices,snapwic_mom_v1___4_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___5,Household received public medical insurance in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=Public medical insurance)",,choices,snapwic_mom_v1___5_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___6,Household received unemployment insurance in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=Unemployment insurance)",,choices,snapwic_mom_v1___6_,
Demographics/Socioeconomic Status,v1_main,snapwic_mom_v1___7,Household did not receive any listed form of assistance in the past 12 months,"In the past 12 months, has your household received any of the following? (Check all that apply) (choice=Not Applicable)",Refer to - for list?,choices,snapwic_mom_v1___7_,
Sleep Questionnaires/Sleep Disordered Breathing,v1_main,snorelast4wk_mom_v1,Frequency of snoring during the last 4 weeks - Mother,"Thinking back on the LAST 4 WEEKS, how often did you snore?",,choices,snorelast4wk_mom_v1_,
Lifestyle and Behavioural Health,v1_main,soda_mom_v1,"Average frequency of drinking regular sodas or soft drinks, including Manzanita, Penafiel, Coke, Pepsi, Dr. Pepper, or Mountain Dew, in the past 4 weeks (excluding diet sodas) - Mother","In the past 4 weeks, on average, how often did you drink any regular sodas or soft drinks, including Manzanita, Penafiel, Coke, Pepsi, Dr. Pepper, or Mountain Dew? Do not include diet sodas.",,choices,soda_mom_v1_,
Lifestyle and Behavioural Health,v1_main,specialobj_mom_v1,"Frequency of needing a special object to fall asleep (doll, special blanket, etc.) excluding pacifier","In the past week, how often did your baby need a special object to fall asleep (doll, special blanket, etc.)?  Do NOT include a pacifier.",,choices,specialobj_mom_v1_,
Medical History,v1_main,stridor_mom_v1,"Since birth, has the baby had stridor",Stridor,,choices,stridor_mom_v1_,
Lifestyle and Behavioural Health,v1_main,swaddle_mom_v1,Frequency of wrapping or swaddling baby in a blanket or in a special sleep suit or sleep sack,How often do you wrap or swaddle your baby in a blanket or in a special sleep suit or sleep sack?,,choices,swaddle_mom_v1_,
Lifestyle and Behavioural Health,v1_main,sweets_mom_v1,"Average frequency of eating doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake in the past 4 weeks (excluding sugar-free items) - Mother","In the past 4 weeks, on average, how often did you eat doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake? Do not include sugar-free items.",,choices,sweets_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,takebabybed_mom_v1,Frequency of taking baby into mothers bed because he/she is upset and will not sleep,How often do you end up taking your baby into your bed because he/she is upset and will not sleep?,,choices,takebabybed_mom_v1_,
Sleep Questionnaires/Sleep Disturbance,v1_main,timeswakenght_mom_v1,Typical number of time baby wakes during the night - Mother,How many times does your baby typically wake during the night?,,numeric,,
Sleep Questionnaires/Sleep Habits,v1_main,tvbabyslp_mom_v1,Television in the room where your baby sleeps,Is there a television in the room where your baby sleeps?,,choices,tvbabyslp_mom_v1_,
Lifestyle and Behavioural Health,v1_main,v1sagestopbf_week,"If No, age of baby when stopped breastfeeding","If No, how old was your baby when you stopped breastfeeding? (age in weeks)",,text,,weeks
Lifestyle and Behavioural Health,v1_main,v1sbreastfd,Baby breastfed since birth,"Since your baby was born, has your baby been breast fed?",,choices,v1sbreastfd_,
Lifestyle and Behavioural Health,v1_main,v1sbrstbttle,"Baby fed breast milk by breast only, bottle only, or both","Do you feed your baby breast milk by breast only, bottle only, or both?",,choices,v1sbrstbttle_,
Lifestyle and Behavioural Health,v1_main,v1sdrnkall,Encouragement frequency for baby to finish a bottle if he or she stops drinking before the formula or breastmilk is gone,How often is your baby encouraged to finish a bottle if he or she stops drinking before the formula or breastmilk is gone?,,choices,v1sdrnkall_,
Lifestyle and Behavioural Health,v1_main,v1sdrnkbottle,Frequency of baby drinking all of his or her bottle of formula or breastmilk,How often does your baby drink all of his or her bottle of formula or breastmilk?,,choices,v1sdrnkbottle_,
Lifestyle and Behavioural Health,v1_main,v1sformstart_day,Age baby started infant formula,How old was your baby when you started feeding him/her infant formula? (age in days),,numeric,,days
Lifestyle and Behavioural Health,v1_main,v1sformula,Feeding baby infant formula since last interaction,"Since we last spoke with you, have you fed your baby any infant formula?",,choices,v1sformula_,
Lifestyle and Behavioural Health,v1_main,v1sformulatype,Type of formula baby is fed,What type of formula do you feed your baby?,,choices,v1sformulatype_,
Lifestyle and Behavioural Health,v1_main,v1sfruitjcesoda,"Ounces of 100% fruit juice, fruit drinks, soda, sweet tea baby drank in an average day (24-hour period) since birth","Since birth, how many ounces of 100% fruit juice, fruit drinks, soda, sweet tea did your baby drink in an average day (24-hour period)?",,choices,v1sfruitjcesoda_,
Lifestyle and Behavioural Health,v1_main,v1snewdrinkage_day,"Age baby first given anything to drink besides breast milk or formula - such as 100% fruit juice, fruit drinks, soda, sweet tea","How old was your baby when you first gave him/her anything to drink besides breast milk or formula - such as 100% fruit juice, fruit drinks, soda, sweet tea? (age in days)",,numeric,,days
Lifestyle and Behavioural Health,v1_main,v1sotherliquids,Liquids other than breastmilk or formula given to your baby since birth,"Since birth, have you given your baby liquids other than breastmilk or formula to drink?",,choices,v1sotherliquids_,
Lifestyle and Behavioural Health,v1_main,v1souncesinbottle,Average ounces in each bottle,"On average, how many ounces does each bottle contain?",,choices,v1souncesinbottle_,
Lifestyle and Behavioural Health,v1_main,v1ssolidfood,Food other than breastmilk or formula fed to baby since birth,"Since birth, have you fed your baby any food other than breastmilk or formula?",,choices,v1ssolidfood_,
Lifestyle and Behavioural Health,v1_main,v1ssolidfoodage_day,"Age baby first fed any solid food, such as baby cereal, fruits, vegetables, yogurt, or anything besides breast milk or formula","How old was your baby when you first fed him/her any solid food - such as baby cereal, fruits, vegetables, yogurt - or anything besides breast milk or formula? (age in days)",,numeric,,days
Lifestyle and Behavioural Health,v1_main,v1sstillbrstfd,Baby still being breastfed,Is your baby still being breastfed?,,choices,v1sstillbrstfd_,
Lifestyle and Behavioural Health,v1_main,v1swaterdrnk,"Past month, ounces of water baby drank in an average day (24-hour period)","In the past month, how many ounces of water did your baby drink in an average day (24-hour period)?",,choices,v1swaterdrnk_,
Lifestyle and Behavioural Health,v1_main,veg_mom_v1,"Average frequency of eating vegetables (raw, cooked, canned, or frozen) in the past 4 weeks (e.g., green beans, carrots, corn, cabbage, broccoli) - Mother","In the past 4 weeks, on average, how often did you eat vegetables (raw, cooked, canned, or frozen)? Examples: green beans, carrots, corn, cabbage, broccoli",,choices,veg_mom_v1_,
Lifestyle and Behavioural Health,v1_main,vigoractiv_mom_v1,"Average hours per week spent engaged in vigorous recreational activities or sports such as jogging, swimming, cycling, aerobic dance, skiing, or other similar activities, in the 12 months before this pregnancy","During the 12 months before this pregnancy, on average, how many hours per week did you spend engaged in vigorous recreational activities or sports such as jogging, swimming, cycling, aerobic dance, skiing, or other similar activities?",,numeric,,hours
Lifestyle and Behavioural Health,v1_main,vitdage_v1_day,Age baby first gaven vitamin D drops,How old was your baby when you first gave him/her vitamin D drops? (age in days),,numeric,,days
